Section,Starting_x,Starting_y,End_x,End_y
10,-530.944707,-575.498219,-526.366501,-573.500410
10,-526.366501,-573.500410,-521.785001,-571.517671
10,-521.785001,-571.517671,-517.201924,-569.541768
10,-517.201924,-569.541768,-512.618986,-567.564470
10,-512.618986,-567.564470,-508.037906,-565.577543
10,-508.037906,-565.577543,-503.460400,-563.572755
10,-503.460400,-563.572755,-498.888185,-561.541874
10,-498.888185,-561.541874,-494.324629,-559.475302
10,-494.324629,-559.475302,-489.782616,-557.355574
10,-489.782616,-557.355574,-485.278431,-555.162412
10,-485.278431,-555.162412,-480.828361,-552.875536
10,-480.828361,-552.875536,-476.448696,-550.474665
10,-476.448696,-550.474665,-472.155724,-547.939519
10,-472.155724,-547.939519,-467.965734,-545.249818
10,-467.965734,-545.249818,-463.892762,-542.388323
10,-463.892762,-542.388323,-459.925937,-539.371490
10,-459.925937,-539.371490,-456.038886,-536.236731
10,-456.038886,-536.236731,-452.205010,-533.021768
10,-452.205010,-533.021768,-448.407506,-529.753729
10,-448.407506,-529.753729,-444.660358,-526.426446
10,-444.660358,-526.426446,-440.983576,-523.027231
10,-440.983576,-523.027231,-437.396693,-519.543743
10,-437.396693,-519.543743,-433.907143,-515.972371
10,-433.907143,-515.972371,-430.509654,-512.318680
10,-430.509654,-512.318680,-427.198347,-508.588669
10,-427.198347,-508.588669,-423.967346,-504.788338
10,-423.967346,-504.788338,-420.810773,-500.923686
10,-420.810773,-500.923686,-417.722751,-497.000713
10,-417.722751,-497.000713,-414.697403,-493.025419
10,-414.697403,-493.025419,-411.728851,-489.003803
10,-411.728851,-489.003803,-408.811218,-484.941865
10,-408.811218,-484.941865,-405.938627,-480.845604
10,-405.938627,-480.845604,-403.105200,-476.721020
10,-403.105200,-476.721020,-400.305061,-472.574112
10,-400.305061,-472.574112,-397.532331,-468.410881
10,-397.532331,-468.410881,-394.781134,-464.237325
10,-394.781134,-464.237325,-392.045414,-460.058649
10,-392.045414,-460.058649,-389.318554,-455.877565
11,-389.318554,-455.877565,-386.593831,-451.696298
11,-386.593831,-451.696298,-383.864518,-447.517069
11,-383.864518,-447.517069,-381.123890,-443.342105
11,-381.123890,-443.342105,-378.365222,-439.173627
11,-378.365222,-439.173627,-375.581789,-435.013861
11,-375.581789,-435.013861,-372.767974,-430.864536
11,-372.767974,-430.864536,-369.946064,-426.714974
11,-369.946064,-426.714974,-367.167646,-422.541464
11,-367.167646,-422.541464,-364.485696,-418.319678
11,-364.485696,-418.319678,-361.953191,-414.025288
11,-361.953191,-414.025288,-359.623107,-409.633965
11,-359.623107,-409.633965,-357.548421,-405.121383
11,-357.548421,-405.121383,-355.782368,-400.463472
11,-355.782368,-400.463472,-354.401670,-395.659762
11,-354.401670,-395.659762,-353.524906,-390.751836
11,-353.524906,-390.751836,-353.274978,-385.785619
11,-353.274978,-385.785619,-353.765119,-380.811790
11,-353.765119,-380.811790,-355.003148,-375.932869
11,-355.003148,-375.932869,-356.932036,-371.283263
11,-356.932036,-371.283263,-359.493798,-366.997823
11,-359.493798,-366.997823,-362.617349,-363.166441
11,-362.617349,-363.166441,-366.191392,-359.741063
11,-366.191392,-359.741063,-370.096949,-356.647263
11,-370.096949,-356.647263,-374.216016,-353.810205
11,-374.216016,-353.810205,-378.453848,-351.145300
11,-378.453848,-351.145300,-382.739394,-348.558019
11,-382.739394,-348.558019,-387.002672,-345.953388
11,-387.002672,-345.953388,-391.183110,-343.247374
11,-391.183110,-343.247374,-395.272060,-340.416308
11,-395.272060,-340.416308,-399.278679,-337.457219
11,-399.278679,-337.457219,-403.212141,-334.367156
12,-403.212141,-334.367156,-407.071243,-331.140300
12,-407.071243,-331.140300,-410.797530,-327.755003
12,-410.797530,-327.755003,-414.312913,-324.184189
12,-414.312913,-324.184189,-417.539826,-320.401036
12,-417.539826,-320.401036,-420.443938,-316.399376
12,-420.443938,-316.399376,-423.064928,-312.208395
12,-423.064928,-312.208395,-425.449738,-307.860749
12,-425.449738,-307.860749,-427.645309,-303.389094
12,-427.645309,-303.389094,-429.698583,-298.826083
